,word,Noun,Verb,Adjective,Adverb
221,BLISS,1,0,0,0
222,BLITZ,1,1,0,0
223,BLOAT,1,1,0,0
224,BLOCK,1,1,0,0
225,BLOKE,1,0,0,0
226,BLOND,1,0,1,0
227,BLOOD,1,1,0,0
228,BLOOM,1,1,0,0
229,BLOWN,0,0,1,0
230,BLUER,1,1,1,0
231,BLUFF,1,1,1,0
232,BLUNT,0,1,1,0
233,BLURB,1,0,0,0
234,BLURT,0,1,0,0
235,BLUSH,1,1,0,0
236,BOARD,1,1,0,0
237,BOAST,1,1,0,0
238,BOBBY,1,0,0,0
239,BONEY,0,0,1,0
240,BONGO,1,0,0,0
241,BONUS,1,0,0,0
242,BOOBY,1,0,0,0
243,BOOST,1,1,0,0
244,BOOTH,1,0,0,0
245,BOOTY,1,0,0,0
246,BOOZE,1,1,0,0
247,BOOZY,0,0,1,0
248,BORAX,1,0,0,0
249,BORNE,1,1,0,0
250,BOSOM,1,1,0,0
251,BOSSY,0,0,1,0
252,BOTCH,1,1,0,0
253,BOUGH,1,0,0,0
254,BOULE,1,0,0,0
255,BOUND,1,1,1,0
256,BOWEL,1,0,0,0
257,BOXER,1,0,0,0
258,BRACE,1,1,0,0
259,BRAID,1,1,0,0
260,BRAIN,1,1,0,0
261,BRAKE,1,1,0,0
262,BRAND,1,1,0,0
263,BRASH,0,0,1,0
264,BRASS,1,0,0,0
265,BRAVE,1,1,1,0
266,BRAVO,1,1,0,0
267,BRAWL,1,1,0,0
268,BRAWN,1,0,0,0
269,BREAD,1,1,0,0
270,BREAK,1,1,0,0
271,BREED,1,1,0,0
272,BRIAR,1,0,0,0
273,BRIBE,1,1,0,0
274,BRICK,1,0,0,0
275,BRIDE,1,0,0,0
276,BRIEF,1,1,1,0
277,BRINE,1,1,0,0
278,BRING,0,1,0,0
279,BRINK,1,0,0,0
280,BRINY,1,0,1,0
281,BRISK,0,1,1,0
282,BROAD,1,0,1,0
283,BROIL,1,1,0,0
284,BROKE,0,0,1,0
285,BROOD,1,1,0,0
286,BROOK,1,1,0,0
287,BROOM,1,1,0,0
288,BROTH,1,0,0,0
289,BROWN,1,1,1,0
290,BRUNT,1,0,0,0
291,BRUSH,1,1,0,0
292,BRUTE,1,0,1,0
293,BUDDY,1,0,0,0
294,BUDGE,0,1,0,0
295,BUGGY,1,0,1,0
296,BUGLE,1,1,0,0
297,BUILD,1,1,0,0
298,BUILT,0,0,1,0
299,BULGE,1,1,0,0
300,BULKY,0,0,1,0
301,BULLY,1,1,1,0
302,BUNCH,1,1,0,0
303,BUNNY,1,0,0,0
304,BURLY,0,0,1,0
305,BURNT,0,0,1,0
306,BURST,1,1,0,0
307,BUSED,1,1,0,0
308,BUSHY,0,0,1,0
309,BUTCH,1,0,1,0
310,BUTTE,1,0,0,0
311,BUXOM,0,0,1,0
312,BUYER,1,0,0,0
